,TrackID,TrackName,Popularity,Duration,Explicit,Artists,ArtistsID,ReleaseYear,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,TimeSignature,artists_upd_v1,artists_upd_v2,artists_upd,artists_song,consolidates_genre_lists,popularity_red
9815,7s8v7hQ80FZyL1N9FHZW5W,Пока боги спят,30,426000,0,['Сергей Маврин'],['77PePiWlGlG80CJEgPah3B'],2004,0.26,0.871,3,-3.255,1,0.0659,0.0228,0.000263,0.24,0.457,119.535,3,['Сергей Маврин'],[],['Сергей Маврин'],Сергей Маврин+Пока боги спят,"['russian_heavy_metal', 'russian_metal']",6
11564,38Mxx28rpORDuDAGuZe1F4,Ben Seni Sevduğumi,33,172500,0,['Şevval Sam'],['5zkh6MICzIQIUoA9NfZpBx'],2008,0.487,0.186,2,-4.794,1,0.0379,0.965,0.0,0.22,0.572,78.869,5,['Şevval Sam'],[],['Şevval Sam'],Şevval Sam+Ben Seni Sevduğumi,"['karadeniz_turkuleri', 'turkish_pop', 'turkish_folk', 'turkish_jazz']",6
11704,6mGP1LAOLKTUcu1TpAF8vy,Lovelock,38,240425,0,['Łąki Łan'],['2fyLjdAfNDXGANys1KoAzo'],2012,0.705,0.97,0,-3.872,1,0.116,0.0371,6.2e-06,0.241,0.851,139.988,4,['Łąki Łan'],[],['Łąki Łan'],Łąki Łan+Lovelock,['polish_alternative'],7
11706,4G1GhiYTkfgsmMv1xlL6jO,"Zabij się, zabij",26,236773,0,['Łzy'],['49kDJkXVeVB2KjvJmAwq0f'],1998,0.568,0.645,0,-7.967,1,0.0278,0.0124,0.0,0.113,0.616,120.858,4,['Łzy'],[],['Łzy'],"Łzy+Zabij się, zabij",['polish_pop'],5
11711,10hWSYRQZ4B1IjPafMhiKr,Jestem jaka jestem,27,230574,0,['Łzy'],['49kDJkXVeVB2KjvJmAwq0f'],2002,0.523,0.854,7,-5.224,1,0.0324,0.0236,0.0,0.368,0.558,93.02,4,['Łzy'],[],['Łzy'],Łzy+Jestem jaka jestem,['polish_pop'],5
11714,1tr7p7gktb3YAydLpcxYeY,"Anastazja, jestem",28,236426,0,['Łzy'],['49kDJkXVeVB2KjvJmAwq0f'],2002,0.606,0.742,5,-5.66,1,0.0289,0.0121,0.0,0.194,0.142,107.967,4,['Łzy'],[],['Łzy'],"Łzy+Anastazja, jestem",['polish_pop'],5
11722,3eBgBKYv51v1ASEWQxv0r0,To Nic Nie Znaczy,45,199682,0,['Łona I Webber'],['6DMuRVdgTNmZCYRlekKWvO'],2011,0.605,0.589,11,-7.806,0,0.762,0.271,0.0,0.093,0.441,177.181,4,['Łona I Webber'],[],['Łona I Webber'],Łona I Webber+To Nic Nie Znaczy,"['polish_hip_hop', 'polish_alternative', 'polish_alternative_rap']",9
13188,4XsAEcfOPMGJ9zfOhcaUtJ,If,35,213000,0,"['Étienne Daho', 'Charlotte Gainsbourg']","['5aDKJuLDczfmHfRSOmHCJk', '2rBcvLKWCZs9w1qIWv560v']",2003,0.721,0.501,6,-13.914,0,0.0285,0.0196,0.396,0.202,0.917,109.873,4,"['Étienne Daho', 'Charlotte Gainsbourg']",[],"['Étienne Daho', 'Charlotte Gainsbourg']",Étienne Daho+If,"['french_rock', 'electronica', 'french_indie_pop', 'art_pop', 'french_indietronica', 'rennes_indie', 'french_synthpop', 'french_pop', 'chanson', 'nouvelle_chanson_francaise']",7
13480,5RaBP5ZEKsjhU0EOhvfunB,Kendimden Geriye,42,235867,0,['Çilekeş'],['3iLM9tkogCRKgRYYbt8tvN'],2005,0.466,0.827,1,-5.591,0,0.0323,0.000205,0.00931,0.105,0.323,87.986,4,['Çilekeş'],[],['Çilekeş'],Çilekeş+Kendimden Geriye,"['turkish_alternative', 'turkish_metal', 'turkish_rock', 'turkish_alternative_rock', 'turkish_punk']",8
13696,0yi098OFF7nbfA6R1edWXt,Ya Lo Sabemos,37,197067,1,['Árbol'],['6OO01j5rLKCyPg4i3FuzIT'],2002,0.344,0.63,2,-5.731,1,0.0304,0.0748,0.00358,0.197,0.473,137.133,5,['Árbol'],[],['Árbol'],Árbol+Ya Lo Sabemos,"['rock_nacional', 'rock_en_espanol', 'latin_alternative', 'argentine_rock', 'latin_rock']",7
